country_name,country_code,discipline,event,athlete_firstname,athlete_lastname,athlete_birthdate,athlete_age,athlete_sex,athlete_height_cm,athlete_weight_kg,athlete_medal
United States,USA,Artistic Gymnastics,Men's Vault,Brody,MALONE,2000-01-07,24,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Team,Brody,MALONE,2000-01-07,24,Male,0.0,0.0,bronze
United States,USA,Artistic Gymnastics,Women,Jordan,CHILES,2001-04-15,23,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's All-Around,Jordan,CHILES,2001-04-15,23,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's Balance Beam,Jordan,CHILES,2001-04-15,23,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's Floor Exercise,Jordan,CHILES,2001-04-15,23,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's Uneven Bars,Jordan,CHILES,2001-04-15,23,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's Vault,Jordan,CHILES,2001-04-15,23,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's Team,Jordan,CHILES,2001-04-15,23,Female,0.0,0.0,gold
United States,USA,Artistic Gymnastics,Men,Paul,JUDA,2001-07-07,23,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's All-Around,Paul,JUDA,2001-07-07,23,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Floor Exercise,Paul,JUDA,2001-07-07,23,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Horizontal Bar,Paul,JUDA,2001-07-07,23,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Parallel Bars,Paul,JUDA,2001-07-07,23,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Pommel Horse,Paul,JUDA,2001-07-07,23,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Rings,Paul,JUDA,2001-07-07,23,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Vault,Paul,JUDA,2001-07-07,23,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Team,Paul,JUDA,2001-07-07,23,Male,0.0,0.0,bronze
United States,USA,Artistic Gymnastics,Women,Simone,BILES,1997-03-14,27,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's All-Around,Simone,BILES,1997-03-14,27,Female,0.0,0.0,gold
United States,USA,Artistic Gymnastics,Women's Balance Beam,Simone,BILES,1997-03-14,27,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's Floor Exercise,Simone,BILES,1997-03-14,27,Female,0.0,0.0,silver
United States,USA,Artistic Gymnastics,Women's Uneven Bars,Simone,BILES,1997-03-14,27,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's Vault,Simone,BILES,1997-03-14,27,Female,0.0,0.0,gold
United States,USA,Artistic Gymnastics,Women's Team,Simone,BILES,1997-03-14,27,Female,0.0,0.0,gold
United States,USA,Artistic Gymnastics,Men,Stephen,NEDOROSCIK,1998-10-28,25,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Floor Exercise,Stephen,NEDOROSCIK,1998-10-28,25,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Horizontal Bar,Stephen,NEDOROSCIK,1998-10-28,25,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Parallel Bars,Stephen,NEDOROSCIK,1998-10-28,25,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Pommel Horse,Stephen,NEDOROSCIK,1998-10-28,25,Male,0.0,0.0,bronze
United States,USA,Artistic Gymnastics,Men's Rings,Stephen,NEDOROSCIK,1998-10-28,25,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Vault,Stephen,NEDOROSCIK,1998-10-28,25,Male,0.0,0.0,none
United States,USA,Artistic Gymnastics,Men's Team,Stephen,NEDOROSCIK,1998-10-28,25,Male,0.0,0.0,bronze
United States,USA,Artistic Gymnastics,Women,Sunisa,LEE,2003-03-09,21,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's All-Around,Sunisa,LEE,2003-03-09,21,Female,0.0,0.0,bronze
United States,USA,Artistic Gymnastics,Women's Balance Beam,Sunisa,LEE,2003-03-09,21,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's Floor Exercise,Sunisa,LEE,2003-03-09,21,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's Uneven Bars,Sunisa,LEE,2003-03-09,21,Female,0.0,0.0,bronze
United States,USA,Artistic Gymnastics,Women's Vault,Sunisa,LEE,2003-03-09,21,Female,0.0,0.0,none
United States,USA,Artistic Gymnastics,Women's Team,Sunisa,LEE,2003-03-09,21,Female,0.0,0.0,gold
Spain,ESP,Football,Women,Teresa,ABELLEIRA,2000-01-09,24,Female,160.0,0.0,none
Spain,ESP,Football,Women,Laia,ALEIXANDRI,2000-08-25,23,Female,170.0,0.0,none
Spain,ESP,Football,Women,Ona,BATLLE,1999-06-10,25,Female,161.0,0.0,none
Spain,ESP,Football,Women,Aitana,BONMATI,1998-01-18,26,Female,163.0,0.0,none
Spain,ESP,Football,Women,Mariona,CALDENTEY,1996-03-19,28,Female,165.0,0.0,none
Spain,ESP,Football,Women,Olga,CARMONA,2000-06-12,24,Female,160.0,0.0,none
Spain,ESP,Football,Women,Laia,CODINA,2000-01-22,24,Female,170.0,0.0,none
Spain,ESP,Football,Women,Cata,COLL,2001-04-23,23,Female,170.0,0.0,none
Spain,ESP,Football,Women,Athenea,del CASTILLO,2000-10-24,23,Female,160.0,0.0,none
Spain,ESP,Football,Women,Lucia,GARCIA,1998-07-14,26,Female,165.0,0.0,none
Spain,ESP,Football,Women,Patri,GUIJARRO,1998-05-17,26,Female,170.0,0.0,none
Spain,ESP,Football,Women,Jennifer,HERMOSO,1990-05-09,34,Female,175.0,0.0,none
Spain,ESP,Football,Women,Oihane,HERNANDEZ,2000-05-04,24,Female,164.0,0.0,none
Spain,ESP,Football,Women,Elene,LETE,2002-05-07,22,Female,175.0,0.0,none
Spain,ESP,Football,Women,Vicky,LOPEZ,2006-07-26,18,Female,161.0,0.0,none
Spain,ESP,Football,Women,Maria,MENDEZ,2001-04-10,23,Female,172.0,0.0,none
Spain,ESP,Football,Women,Eva,NAVARRO,2001-01-27,23,Female,160.0,0.0,none
Spain,ESP,Football,Women,Salma,PARALLUELO,2003-11-13,20,Female,174.0,0.0,none
Spain,ESP,Football,Women,Irene,PAREDES,1991-07-04,33,Female,178.0,0.0,none
Spain,ESP,Football,Women,Alexia,PUTELLAS,1994-02-04,30,Female,174.0,0.0,none
Spain,ESP,Football,Women,Alba,REDONDO,1996-08-27,27,Female,169.0,0.0,none
Spain,ESP,Football,Women,Misa,RODRIGUEZ,1999-07-22,25,Female,175.0,0.0,none
United States,USA,Athletics,Men's 4 x 400m Relay,Vernon,NORWOOD,1992-04-10,32,Male,187.0,0.0,gold
United States,USA,Athletics,4 x 400m Relay Mixed,Vernon,NORWOOD,1992-04-10,32,Male,187.0,0.0,silver
United States,USA,Athletics,Women's 4 x 100m Relay,Aleia,HOBBS,1996-02-24,28,Female,170.0,0.0,gold
United States,USA,Athletics,Men's 5000m,Abdihamid,NUR,1997-10-14,26,Male,172.0,0.0,none
United States,USA,Athletics,Men's 4 x 100m Relay,Christian,COLEMAN,1996-03-06,28,Male,175.0,0.0,none
United States,USA,Athletics,Women's 1500m,Nikki,HILTZ,1994-10-23,29,Female,162.0,0.0,none
United States,USA,Athletics,Women's 1500m,Emily,MACKAY,1998-04-30,26,Female,172.0,0.0,none
United States,USA,Athletics,Women's 1500m,Elle,ST. PIERRE,1995-02-20,29,Female,160.0,0.0,none
United States,USA,Athletics,Men's 110m Hurdles,Freddie,CRITTENDEN,1994-08-03,29,Male,187.0,0.0,none
United States,USA,Athletics,Men's Decathlon,Heath,BALDWIN,2001-02-08,23,Male,193.0,0.0,none
United States,USA,Athletics,Men's Long Jump,Jarrion,LAWSON,1994-05-06,30,Male,183.0,0.0,none
United States,USA,Athletics,"Women's 10,000m",Karissa,SCHWEIZER,1996-05-04,28,Female,165.0,0.0,none
United States,USA,Athletics,Women's 5000m,Karissa,SCHWEIZER,1996-05-04,28,Female,165.0,0.0,none
United States,USA,Athletics,4 x 400m Relay Mixed,Lynna,IRBY-JACKSON,1998-12-06,25,Female,165.0,0.0,none
United States,USA,Athletics,Women's 100m Hurdles,Masai,RUSSELL,2000-06-17,24,Female,162.0,0.0,gold
United States,USA,Athletics,Men's 100m,Noah,LYLES,1997-07-18,27,Male,177.0,0.0,gold
United States,USA,Athletics,Men's 200m,Noah,LYLES,1997-07-18,27,Male,177.0,0.0,bronze
United States,USA,Athletics,Men's 4 x 100m Relay,Noah,LYLES,1997-07-18,27,Male,177.0,0.0,none
United States,USA,Athletics,Men's 400m,Quincy,HALL,1998-07-31,25,Male,187.0,0.0,gold
United States,USA,Athletics,Men's 4 x 400m Relay,Quincy,HALL,1998-07-31,25,Male,187.0,0.0,gold
United States,USA,Athletics,Men's Pole Vault,Sam,KENDRICKS,1992-09-07,31,Male,185.0,0.0,silver
United States,USA,Athletics,Women's 4 x 400m Relay,Shamier,LITTLE,1995-03-20,29,Female,175.0,0.0,gold
United States,USA,Athletics,4 x 400m Relay Mixed,Shamier,LITTLE,1995-03-20,29,Female,175.0,0.0,silver
United States,USA,Athletics,Women's 100m,Sha'carri,RICHARDSON,2000-03-25,24,Female,157.0,0.0,silver
United States,USA,Athletics,Women's 4 x 100m Relay,Sha'carri,RICHARDSON,2000-03-25,24,Female,157.0,0.0,gold
United States,USA,Athletics,"Men's 10,000m",William,KINCAID,1992-09-21,31,Male,180.0,0.0,none
Ecuador,ECU,Wrestling,Men's Greco-Roman 67kg,Andres Roberto,MONTANO ARROYO,1990-04-06,34,Male,0.0,0.0,none
Ecuador,ECU,Wrestling,Women's Freestyle 76kg,Genesis Rosangela,REASCO VALDEZ,1998-07-18,26,Female,0.0,0.0,none
Ecuador,ECU,Wrestling,Women's Freestyle 53kg,Lucia Yamileth,YEPEZ GUZMAN,2001-02-18,23,Female,0.0,0.0,silver
South Africa,RSA,Skateboarding,Men's Park,Dallas,OBERHOLZER,1975-06-27,49,Male,0.0,0.0,none
South Africa,RSA,Skateboarding,Men's Street,Brandon,VALJALO,1998-07-11,26,Male,0.0,0.0,none
South Africa,RSA,Skateboarding,Women's Street,Boipelo,AWUAH,2005-12-21,18,Female,0.0,0.0,none
Ecuador,ECU,Wrestling,Women's Freestyle 57kg,MELENDRES Luisa Elizabeth,VALVERDE,1991-07-04,33,Female,0.0,0.0,none
Kuwait,KUW,Athletics,Women's 800m,Amal,AL ROUMI,1992-08-22,31,Female,165.0,0.0,none
Canada,CAN,Sailing,Men's Skiff,Will,JONES,1995-03-05,29,Male,0.0,0.0,none
Canada,CAN,Sailing,Women's Kite,Emily,BUGEJA,1999-04-30,25,Female,0.0,0.0,none
Canada,CAN,Sailing,Women's Skiff,Antonia,LEWIN-LAFRANCE,1997-06-12,27,Female,0.0,0.0,none
Canada,CAN,Sailing,Men's Skiff,Justin,BARNES,1991-03-26,33,Male,0.0,0.0,none
Canada,CAN,Sailing,Women's Skiff,Georgia,LEWIN-LAFRANCE,1999-12-01,24,Female,0.0,0.0,none
Canada,CAN,Sailing,Women's Dinghy,Sarah,DOUGLAS,1994-01-21,30,Female,0.0,0.0,none
Kuwait,KUW,Athletics,Men's 110m Hurdles,Yaqoub,ALYOUHA,1993-01-31,31,Male,188.0,0.0,none
Canada,CAN,Shooting,10m Air Pistol Men,Michele,ESERCITATO,2001-11-07,22,Male,0.0,0.0,none
Canada,CAN,Shooting,10m Air Rifle Men,Tye,IKEDA,1996-12-08,27,Male,0.0,0.0,none
Canada,CAN,Shooting,50m Rifle 3 Positions Men,Tye,IKEDA,1996-12-08,27,Male,0.0,0.0,none
Canada,CAN,Shooting,50m Rifle 3 Positions Women,Shannon,WESTLAKE,1985-11-21,38,Female,0.0,0.0,none
Kuwait,KUW,Sailing,Women's Dinghy,Ameena,SHAH,2001-01-24,23,Female,0.0,0.0,none
Tunisia,TUN,Wrestling,Women's Freestyle 76kg,Zaineb,SGHAIER,2002-09-25,21,Female,0.0,0.0,none
United States,USA,Athletics,Women's 400m Hurdles,Anna,COCKRELL,1997-08-28,26,Female,180.0,0.0,silver
United States,USA,Athletics,Women's 200m,Brittany,BROWN,1995-04-18,29,Female,162.0,0.0,bronze
United States,USA,Athletics,Men's 4 x 400m Relay,Bryce,DEADMON,1997-03-26,27,Male,190.0,0.0,gold
United States,USA,Athletics,4 x 400m Relay Mixed,Bryce,DEADMON,1997-03-26,27,Male,190.0,0.0,silver
United States,USA,Athletics,Men's 400m,Christopher,BAILEY,2000-05-29,24,Male,175.0,0.0,none
United States,USA,Athletics,Men's 4 x 400m Relay,Christopher,BAILEY,2000-05-29,24,Male,175.0,0.0,gold
United States,USA,Athletics,Men's 400m Hurdles,CJ,ALLEN,1995-02-14,29,Male,187.0,0.0,none
United States,USA,Athletics,Women's Marathon,Dakotah,LINDWURM,1995-05-01,29,Female,154.0,0.0,none
United States,USA,Athletics,Women's 5000m,Elise,CRANNY,1996-05-09,28,Female,162.0,0.0,none
